OrderDate,OrderNumber,cancelFlag
1/1/2016,SO48797,TRUE
1/1/2016,SO48802,TRUE
1/1/2016,SO48801,FALSE
1/1/2016,SO48799,TRUE
1/1/2016,SO48798,FALSE
1/1/2016,SO48800,FALSE
1/1/2016,SO48795,TRUE
1/1/2016,SO48796,TRUE
1/2/2016,SO48804,TRUE
1/2/2016,SO48814,TRUE
1/2/2016,SO48812,TRUE
1/2/2016,SO48803,TRUE
1/2/2016,SO48809,
1/2/2016,SO48807,
1/2/2016,SO48805,
1/2/2016,SO48808,
1/2/2016,SO48813,
1/2/2016,SO48810,
1/2/2016,SO48806,
1/2/2016,SO48811,
1/3/2016,SO48819,
1/3/2016,SO48817,
1/3/2016,SO48820,
1/3/2016,SO48815,
1/3/2016,SO48818,
1/3/2016,SO48821,
1/3/2016,SO48816,
1/4/2016,SO48827,
1/4/2016,SO48825,
1/4/2016,SO48829,
1/4/2016,SO48822,
1/4/2016,SO48824,
1/4/2016,SO48828,
1/4/2016,SO48823,
1/4/2016,SO48826,
1/5/2016,SO48835,
1/5/2016,SO48832,
1/5/2016,SO48831,
1/5/2016,SO48836,
1/5/2016,SO48834,
1/5/2016,SO48833,
1/5/2016,SO48830,
1/6/2016,SO48838,
1/6/2016,SO48837,
1/7/2016,SO48841,
1/7/2016,SO48845,
1/7/2016,SO48843,
1/7/2016,SO48839,
1/7/2016,SO48847,
1/7/2016,SO48844,
1/7/2016,SO48846,
1/7/2016,SO48840,
1/7/2016,SO48842,
1/8/2016,SO48855,
1/8/2016,SO48857,
1/8/2016,SO48852,
1/8/2016,SO48851,
1/8/2016,SO48853,
1/8/2016,SO48856,
1/8/2016,SO48849,
1/8/2016,SO48854,
1/8/2016,SO48850,
1/8/2016,SO48848,
1/9/2016,SO48862,
1/9/2016,SO48858,
1/9/2016,SO48864,
1/9/2016,SO48860,
1/9/2016,SO48863,
1/9/2016,SO48865,
1/9/2016,SO48859,
1/9/2016,SO48861,
1/9/2016,SO48866,
1/10/2016,SO48871,
1/10/2016,SO48869,
1/10/2016,SO48868,
1/10/2016,SO48870,
1/10/2016,SO48876,
1/10/2016,SO48872,
1/10/2016,SO48867,
1/10/2016,SO48877,
1/10/2016,SO48875,
1/10/2016,SO48874,
1/11/2016,SO48883,
1/11/2016,SO48884,
1/11/2016,SO48881,
1/11/2016,SO48880,
1/11/2016,SO48879,
1/11/2016,SO48878,
1/11/2016,SO48882,
1/12/2016,SO48888,
1/12/2016,SO48890,
1/12/2016,SO48891,
1/12/2016,SO48889,
1/12/2016,SO48887,
1/12/2016,SO48886,
1/12/2016,SO48885,
1/13/2016,SO48899,
1/13/2016,SO48902,
1/13/2016,SO48898,
1/13/2016,SO48896,
1/13/2016,SO48903,
1/13/2016,SO48901,
1/13/2016,SO48893,
1/13/2016,SO48900,
1/13/2016,SO48895,
1/13/2016,SO48894,
1/13/2016,SO48892,
1/13/2016,SO48897,
1/14/2016,SO48905,
1/14/2016,SO48904,
1/14/2016,SO48906,
1/14/2016,SO48908,
1/14/2016,SO48907,
1/14/2016,SO48909,
1/15/2016,SO48916,
1/15/2016,SO48913,
1/15/2016,SO48919,
1/15/2016,SO48918,
1/15/2016,SO48914,
1/15/2016,SO48911,
1/15/2016,SO48915,
1/15/2016,SO48917,
1/15/2016,SO48912,
1/15/2016,SO48910,
1/16/2016,SO48920,
1/16/2016,SO48924,
1/16/2016,SO48926,
1/16/2016,SO48925,
1/16/2016,SO48922,
1/16/2016,SO48923,
1/16/2016,SO48929,
1/16/2016,SO48930,
1/16/2016,SO48921,
1/16/2016,SO48928,
1/16/2016,SO48927,
1/17/2016,SO48933,
1/17/2016,SO48934,
1/17/2016,SO48931,
1/17/2016,SO48936,
1/17/2016,SO48932,
1/17/2016,SO48937,
1/17/2016,SO48935,
1/18/2016,SO48943,
1/18/2016,SO48938,
1/18/2016,SO48942,
1/18/2016,SO48944,
1/18/2016,SO48940,
1/18/2016,SO48939,
1/18/2016,SO48941,
1/19/2016,SO48949,
1/19/2016,SO48946,
1/19/2016,SO48947,
1/19/2016,SO48945,
1/19/2016,SO48948,
1/20/2016,SO48951,
1/20/2016,SO48955,
1/20/2016,SO48952,
1/20/2016,SO48950,
1/20/2016,SO48956,
1/20/2016,SO48953,
1/20/2016,SO48954,
1/21/2016,SO48961,
1/21/2016,SO48960,
1/21/2016,SO48959,
1/21/2016,SO48962,
1/21/2016,SO48957,
1/21/2016,SO48958,
1/21/2016,SO48963,
1/22/2016,SO48973,
1/22/2016,SO48968,
1/22/2016,SO48966,
1/22/2016,SO48967,
1/22/2016,SO48970,
1/22/2016,SO48971,
1/22/2016,SO48972,
1/22/2016,SO48969,
1/22/2016,SO48965,
1/22/2016,SO48964,
1/23/2016,SO48984,
1/23/2016,SO48975,
1/23/2016,SO48986,
1/23/2016,SO48974,
1/23/2016,SO48978,
1/23/2016,SO48983,
1/23/2016,SO48987,
1/23/2016,SO48976,
1/23/2016,SO48982,
1/23/2016,SO48979,
1/23/2016,SO48985,
1/23/2016,SO48981,
1/23/2016,SO48977,
1/23/2016,SO48980,
1/24/2016,SO48992,
1/24/2016,SO48993,
1/24/2016,SO48988,
1/24/2016,SO48990,
1/24/2016,SO48994,
1/24/2016,SO48991,
1/24/2016,SO48989,
1/25/2016,SO48998,
1/25/2016,SO48995,
1/25/2016,SO48997,
1/25/2016,SO48996,
1/26/2016,SO49002,
1/26/2016,SO49005,
1/26/2016,SO49000,
1/26/2016,SO49006,
1/26/2016,SO49008,
1/26/2016,SO49004,
1/26/2016,SO49001,
1/26/2016,SO48999,
1/26/2016,SO49003,
1/27/2016,SO49011,
1/27/2016,SO49009,
1/27/2016,SO49010,
1/28/2016,SO49013,
1/28/2016,SO49015,
1/28/2016,SO49016,
1/28/2016,SO49014,
1/28/2016,SO49012,
1/29/2016,SO49021,
1/29/2016,SO49019,
